# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.orphan.listener.update.ms,1767550622641000000,1767550682642000000,2
jps.library.entities.serializer.save.entities.ms,1767550622641000000,1767550682642000000,0
jps.project.serializers.save.ms,1767550622641000000,1767550682642000000,0
jps.artifact.entities.serializer.save.entities.ms,1767550622641000000,1767550682642000000,0
jps.facet.change.listener.before.change.events.ms,1767550622641000000,1767550682642000000,0
workspaceModel.save.cache.to.file.ms,1767550622641000000,1767550682642000000,36
workspaceModel.mutableEntityStorage.add.diff.ms,1767550622641000000,1767550682642000000,3
jps.storage.jps.conf.reader.load.component.ms,1767550622641000000,1767550682642000000,5
workspaceModel.moduleManagerBridge.newModule.ms,1767550622641000000,1767550682642000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1767550622641000000,1767550682642000000,0
jps.load.initial.state.ms,1767550622641000000,1767550682642000000,3
jps.global.initialize.library.bridges.ms,1767550622641000000,1767550682642000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1767550622641000000,1767550682642000000,0
jps.global.get.library.ms,1767550622641000000,1767550682642000000,0
workspaceModel.mutableEntityStorage.entities.ms,1767550622641000000,1767550682642000000,0
workspaceModel.load.cache.from.file.ms,1767550622641000000,1767550682642000000,74
workspaceModel.moduleManagerBridge.load.module.ms,1767550622641000000,1767550682642000000,0
jps.project.serializers.load.ms,1767550622641000000,1767550682642000000,25
workspaceModel.moduleManagerBridge.load.all.modules.ms,1767550622641000000,1767550682642000000,30
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1767550622641000000,1767550682642000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1767550622641000000,1767550682642000000,0
workspaceModel.moduleBridge.update.option.ms,1767550622641000000,1767550682642000000,0
jps.apply.loaded.storage.ms,1767550622641000000,1767550682642000000,13
workspaceModel.moduleBridgeLoader.loading.modules.ms,1767550622641000000,1767550682642000000,243
workspaceModel.moduleBridge.before.changed.ms,1767550622641000000,1767550682642000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1767550622641000000,1767550682642000000,0
workspaceModel.global.updates.count,1767550622641000000,1767550682642000000,0
jps.library.entities.serializer.load.entities.ms,1767550622641000000,1767550682642000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1767550622641000000,1767550682642000000,0
jps.app.storage.content.writer.save.component.ms,1767550622641000000,1767550682642000000,0
jps.module.iml.entities.serializer.load.entities.ms,1767550622641000000,1767550682642000000,12
jps.global.get.libraries.ms,1767550622641000000,1767550682642000000,0
workspaceModel.global.updates.ms,1767550622641000000,1767550682642000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1767550622641000000,1767550682642000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1767550622641000000,1767550682642000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1767550622641000000,1767550682642000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1767550622641000000,1767550682642000000,4
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1767550622641000000,1767550682642000000,266371072
DirectByteBufferAllocator.reclaimed,1767550622641000000,1767550682642000000,0
FilePageCache.pageLoads,1767550622641000000,1767550682642000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1767550622641000000,1767550682642000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1767550622641000000,1767550682642000000,0
FilePageCache.uncachedFileAccess,1767550622641000000,1767550682642000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1767550622641000000,1767550682642000000,0
StreamlinedBlobStorage.recordsAllocated,1767550622641000000,1767550682642000000,0
FilePageCache.pageHits,1767550622641000000,1767550682642000000,0
StorageLockContext.competingThreads.90P,1767550622641000000,1767550682642000000,0
DirectByteBufferAllocator.misses,1767550622641000000,1767550682642000000,0
FilePageCache.totalPageDisposalsUs,1767550622641000000,1767550682642000000,0
StreamlinedBlobStorage.recordsDeleted,1767550622641000000,1767550682642000000,0
FilePageCache.maxRegisteredFiles,1767550622641000000,1767550682642000000,617
StorageLockContext.competingThreads.avg,1767550622641000000,1767550682642000000,0.0
DirectByteBufferAllocator.disposed,1767550622641000000,1767550682642000000,0
DirectByteBufferAllocator.hits,1767550622641000000,1767550682642000000,0
StreamlinedBlobStorage.recordsRelocated,1767550622641000000,1767550682642000000,0
StorageLockContext.competingThreads.max,1767550622641000000,1767550682642000000,0
FilePageCache.capacityInBytes,1767550622641000000,1767550682642000000,524288000
FilePageCache.totalPageLoadsUs,1767550622641000000,1767550682642000000,0
FilePageCache.maxCacheSizeInBytes,1767550622641000000,1767550682642000000,266371072
FilePageCache.pageLoadsAboveSizeThreshold,1767550622641000000,1767550682642000000,0
FilePageCache.disposedBuffers,1767550622641000000,1767550682642000000,0
FilePageCache.pageFastCacheHits,1767550622641000000,1767550682642000000,0
workspaceModel.initializing.ms,1767550622641000000,1767550682642000000,1
workspaceModel.loading.total.ms,1767550622641000000,1767550682642000000,81
workspaceModel.replace.project.model.ms,1767550622641000000,1767550682642000000,0
workspaceModel.pre.handlers.ms,1767550622641000000,1767550682642000000,0
workspaceModel.updates.precise.ms,1767550622641000000,1767550682642000000,14
workspaceModel.update.unloaded.entities.ms,1767550622641000000,1767550682642000000,0
workspaceModel.updates.ms,1767550622641000000,1767550682642000000,37
workspaceModel.to.snapshot.ms,1767550622641000000,1767550682642000000,1
workspaceModel.updates.count,1767550622641000000,1767550682642000000,3
workspaceModel.init.bridges.ms,1767550622641000000,1767550682642000000,1
workspaceModel.collect.changes.ms,1767550622641000000,1767550682642000000,0
workspaceModel.check.recursive.update.ms,1767550622641000000,1767550682642000000,0
workspaceModel.loading.from.cache.ms,1767550622641000000,1767550682642000000,75
JVM.totalCpuTimeMs,1767550622641000000,1767550682642000000,1982
OS.loadAverage,1767550622641000000,1767550682642000000,4.919921875
JVM.GC.collectionTimesMs,1767550622641000000,1767550682642000000,31
JVM.usedHeapBytes,1767550622641000000,1767550682642000000,236458496
JVM.maxNativeBytes,1767550622641000000,1767550682642000000,-1
JVM.maxHeapBytes,1767550622641000000,1767550682642000000,2147483648
JVM.GC.collections,1767550622641000000,1767550682642000000,2
JVM.threadCount,1767550622641000000,1767550682642000000,52
JVM.usedNativeBytes,1767550622641000000,1767550682642000000,285817736
FlushQueue.executionTimeAvgNs,1767550622641000000,1767550682642000000,142817.85123966943
AWTEventQueue.dispatchTimeTotalNS,1767550622641000000,1767550682642000000,58838755
AWTEventQueue.dispatchTime90PNs,1767550622641000000,1767550682642000000,892927
FlushQueue.waitingTimeAvgNs,1767550622641000000,1767550682642000000,521058.3801652893
NonBlockingReadAction.failedExecutionsCount,1767550622641000000,1767550682642000000,0
FlushQueue.executionTime90PNs,1767550622641000000,1767550682642000000,260095
FlushQueue.queueSizeMax,1767550622641000000,1767550682642000000,0
